City ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
1268469,Kālānwāli,IN,29.85,74.95,70.9,22,0,1.43,1603042337
5380437,Pacific Grove,US,36.62,-121.92,69.01,52,1,3.36,1603042297
1509902,Bogandinskiy,RU,56.89,65.89,33.8,74,87,6.71,1603042338
2155415,New Norfolk,AU,-42.78,147.06,48.2,76,75,6.93,1603042073
4035715,Avarua,CK,-21.21,-159.78,69.8,94,50,5.82,1603042157
3401148,Cururupu,BR,-1.83,-44.87,88.0,54,98,7.76,1603042338
3714956,Ailigandí,PA,9.23,-78.02,84.4,76,97,4.54,1603042338
2122293,Ozernovskiy,RU,51.5,156.52,46.2,79,80,16.62,1603042338
1633419,Padang,ID,-0.95,100.35,78.46,76,74,3.47,1603042338
3466980,Caravelas,BR,-17.71,-39.25,77.77,67,44,10.94,1603042338
2082539,Merauke,ID,-8.47,140.33,78.67,82,100,10.98,1603042149
2071860,Esperance,AU,-33.87,121.9,55.4,87,94,10.29,1603042066
1504489,Karasuk,RU,53.74,78.04,33.96,86,8,9.53,1603042338
2742416,Barcelos,PT,41.54,-8.62,70.0,40,98,1.59,1603042338
2034400,Tongliao,CN,43.61,122.27,47.21,50,8,10.96,1603042338
1636308,Manokwari,ID,-0.87,134.08,80.67,75,100,3.94,1603042094
3466704,Castro,BR,-24.79,-50.01,71.51,67,100,7.72,1603042339
6100069,Peace River,CA,56.25,-117.29,17.6,61,90,2.24,1603042339
3397967,Itaituba,BR,-4.28,-55.98,101.95,26,70,4.07,1603042339
3372707,Ribeira Grande,PT,38.52,-28.7,62.6,55,40,12.75,1603042339
878549,Zvishavane,ZW,-20.33,30.07,79.99,25,0,5.77,1603042339
5106841,Albany,US,42.6,-73.97,61.0,36,94,11.92,1603042339
5880054,Barrow,US,71.29,-156.79,21.2,79,75,14.99,1603042339
2206939,Bluff,NZ,-46.6,168.33,46.99,92,100,1.01,1603042339
286245,Sur,OM,22.57,59.53,84.07,27,0,12.21,1603042112
1505579,Inta,RU,66.03,60.17,28.04,97,99,10.45,1603042339
2630299,Hofn,IS,64.25,-15.21,42.8,70,75,12.75,1603042340
3430863,Mar del Plata,AR,-38.0,-57.56,78.8,74,68,6.93,1603042340
4414200,West Plains,US,36.73,-91.85,64.0,77,90,6.93,1603042340
3443061,Chui,UY,-33.7,-53.46,77.67,47,0,7.16,1603042340
748167,Devrek,TR,41.22,31.96,64.49,85,98,2.82,1603042340
4360369,Laurel,US,39.1,-76.85,64.99,51,40,8.05,1603042200
6180550,Whitehorse,CA,60.72,-135.05,12.2,78,75,11.41,1603042150
6148373,Sioux Lookout,CA,50.1,-91.92,32.0,86,90,9.17,1603042067
885800,Mount Darwin,ZW,-16.77,31.58,77.56,24,3,4.54,1603042340
2112802,Hasaki,JP,35.73,140.83,51.8,93,20,8.05,1603042081
1507390,Dikson,RU,73.51,80.55,25.25,90,35,29.01,1603042156
1855891,Nakamura,JP,32.98,132.93,58.57,78,50,3.58,1603042340
5563839,Fortuna,US,40.6,-124.16,57.99,100,1,6.24,1603042080
1166164,Sanghar,PK,26.05,68.95,80.6,54,53,4.7,1603042341
3899695,Ancud,CL,-41.87,-73.82,55.0,87,90,20.8,1603042341
3386177,Trairi,BR,-3.28,-39.27,85.37,54,70,16.2,1603042314
1337607,Kudahuvadhoo,MV,2.67,72.89,83.03,78,33,14.36,1603042341
2013727,Vanavara,RU,60.34,102.28,37.92,92,100,13.56,1603042341
2129868,Iwanai,JP,42.97,140.51,49.55,77,34,5.5,1603042071
2194098,Ahipara,NZ,-35.17,173.17,56.25,93,61,6.85,1603042341
3457817,Marau,BR,-28.45,-52.2,85.68,34,0,0.72,1603042341
468991,Yarega,RU,63.44,53.58,31.24,96,100,4.97,1603042341
933178,Pandamatenga,BW,-18.53,25.63,79.11,17,0,5.35,1603042342
2022572,Khatanga,RU,71.97,102.5,7.25,86,11,8.16,1603042342
4033557,Tautira,PF,-17.73,-149.15,78.8,78,40,2.24,1603042342
3994469,Ojinaga,MX,29.57,-104.42,84.99,25,1,4.7,1603042342
1185095,Teknāf,BD,20.86,92.31,79.77,82,100,4.41,1603042342
778707,Mehamn,NO,71.04,27.85,30.2,92,40,3.36,1603042326
3883457,Lebu,CL,-37.62,-73.65,55.58,63,0,9.08,1603042342
108410,Riyadh,SA,24.69,46.72,77.0,22,0,3.36,1603042215
1802238,Loudi,CN,27.73,111.99,53.47,87,43,1.45,1603042342
2068079,Kwinana,AU,-32.25,115.77,62.01,100,0,9.17,1603042342
2015306,Tiksi,RU,71.69,128.87,18.46,96,100,18.01,1603042339
3658053,El Triunfo,EC,-1.93,-79.97,86.0,58,20,10.29,1603042343
3663475,Maraã,BR,-1.83,-65.37,89.89,54,32,1.61,1603042343
2180815,Tuatapere,NZ,-46.13,167.68,46.99,92,100,1.01,1603042343
569223,Cherepovets,RU,59.13,37.9,32.0,97,90,2.24,1603042175
777019,Vardø,NO,70.37,31.11,37.4,69,40,9.17,1603042343
1045114,Inhambane,MZ,-23.86,35.38,75.2,69,0,11.41,1603042343
3664980,Boa Vista,BR,2.82,-60.67,95.0,39,40,8.05,1603042343
3418910,Upernavik,GL,72.79,-56.15,33.91,89,27,7.38,1603042075
686090,Asău,RO,46.43,26.4,53.6,66,28,8.05,1603042343
7117880,Zarya,RU,55.76,38.1,37.99,86,75,8.95,1603042343
2121385,Severo-Kuril'sk,RU,50.68,156.12,45.63,82,31,11.88,1603042344
7671223,Kloulklubed,PW,7.04,134.26,82.4,78,75,9.17,1603042344
4513583,Hamilton,US,39.18,-84.53,53.01,76,90,3.36,1603042290
2655729,Bicester,GB,51.9,-1.15,51.8,87,90,1.12,1603042184
4020109,Atuona,PF,-9.8,-139.03,77.95,77,15,18.43,1603042344
2120769,Talaya,RU,61.38,152.75,22.96,94,86,2.37,1603042344
3908339,Patacamaya,BO,-17.23,-67.92,57.33,37,87,9.78,1603042344
2126123,Chokurdakh,RU,70.63,147.92,19.71,98,94,7.18,1603042344
64435,Berbera,SO,10.44,45.01,85.78,55,0,4.74,1603042138
293842,Kiryat Gat,IL,31.61,34.76,79.0,81,0,5.86,1603042344
986717,Kruisfontein,ZA,-34.0,24.73,60.01,73,22,4.63,1603042344
2012956,Yerbogachën,RU,61.28,108.01,34.5,95,100,7.85,1603042345
5282297,Bethel,US,41.37,-73.41,60.01,51,75,9.17,1603042111
3520994,Puerto Escondido,MX,15.85,-97.07,87.8,62,20,4.7,1603042345
4036284,Alofi,NU,-19.06,-169.92,77.0,94,87,3.36,1603042107
5314328,Sierra Vista,US,31.55,-110.3,81.0,11,1,3.36,1603042200
2142316,Yeppoon,AU,-23.13,150.73,66.2,82,3,4.88,1603042345
2094342,Kavieng,PG,-2.57,150.8,81.97,76,28,10.6,1603042345
934322,Mahébourg,MU,-20.41,57.7,75.2,69,40,8.05,1603042345
2522325,Agüimes,ES,27.91,-15.45,73.4,73,20,14.99,1603042345
3450083,Santa Maria,BR,-29.68,-53.81,87.28,41,0,3.53,1603042319
57000,Hobyo,SO,5.35,48.53,80.08,80,7,21.07,1603042345
3369157,Cape Town,ZA,-33.93,18.42,63.0,72,20,14.99,1603042256
218680,Boende,CD,-0.22,20.87,73.58,95,99,2.42,1603042345
3691582,Talara,PE,-4.58,-81.27,69.19,73,33,21.74,1603042131
2177671,Armidale,AU,-30.52,151.65,48.99,93,100,1.01,1603042346
1054329,Vangaindrano,MG,-23.35,47.6,68.88,86,97,5.7,1603042346
2019867,Mokhsogollokh,RU,61.47,128.92,10.38,95,68,5.26,1603042346
2729907,Longyearbyen,SJ,78.22,15.64,26.6,79,40,11.41,1603042346
2527087,Tiznit Province,MA,29.58,-9.5,72.64,32,100,3.09,1603042346
935215,Saint-Philippe,RE,-21.36,55.77,73.4,73,23,8.05,1603042346
2324857,Pindiga,NG,9.98,10.93,95.0,39,20,3.91,1603042346
2374583,Bubaque,GW,11.28,-15.83,83.23,81,2,11.01,1603042346
2027042,Batagay-Alyta,RU,67.8,130.41,15.33,88,98,3.78,1603042347
3421765,Nanortalik,GL,60.14,-45.24,40.3,95,83,8.19,1603042347
1563281,Tuy Hoa,VN,13.08,109.3,77.0,87,100,6.22,1603042091
